Date,Close,High,Low,Open,Volume,Symbol
,Nvda,Nvda,Nvda,Nvda,Nvda,
2017-06-09,3.6929492950439453,4.159505138473683,3.5238535858007762,4.066687832136906,3692928000,NVDA
2017-06-12,3.7020833492279053,3.7447893353090635,3.5080555460462275,3.6011198195776872,1697532000,NVDA
2017-06-13,3.7373833656311035,3.820573442676085,3.5954416061923142,3.811439649175813,1672504000,NVDA
2017-06-14,3.7452826499938965,3.803046749359133,3.665795480677004,3.740345674248224,1184640000,NVDA
2017-06-15,3.761328935623169,3.79169189441458,3.6164248729400303,3.62778031913309,963824000,NVDA
2017-06-16,3.7428138256073,3.8188452722508677,3.7087479651541684,3.7709553625957963,924960000,NVDA
2017-06-19,3.883521318435669,3.8887052486620126,3.7832981965546715,3.78700086933396,778176000,NVDA
2017-06-20,3.8778436183929443,3.992631187067027,3.8736472714532835,3.925733530306192,1095444000,NVDA
2017-06-21,3.9365952014923096,3.940298109952327,3.8435309347204343,3.9054916179372525,682652000,NVDA
2017-06-22,3.9094414710998535,3.9580720162511627,3.8854965129334693,3.944741639194244,469132000,NVDA
2017-06-23,3.7973692417144775,3.932892537029539,3.782310888529078,3.917093790485874,1088588000,NVDA
2017-06-26,3.7558984756469727,3.8657488639934603,3.661599882897226,3.8302017344728743,1063960000,NVDA
2017-06-27,3.6183996200561523,3.7470110180474268,3.612722014959109,3.7383711330260105,999492000,NVDA
2017-06-28,3.746023416519165,3.7507136731305986,3.5979103719949013,3.6860376640913337,994948000,NVDA
2017-06-29,3.620868444442749,3.7205976780455954,3.5566861012394746,3.7176356333616516,1064424000,NVDA
2017-06-30,3.568535566329956,3.651725665762773,3.542368952407274,3.6381485669301346,731060000,NVDA
2017-07-03,3.439429521560669,3.5954418242497903,3.4209154495516443,3.5806306608102503,709072000,NVDA
2017-07-05,3.531259298324585,3.5601412283464486,3.48386306310445,3.5028708068828487,820188000,NVDA
2017-07-06,3.541874647140503,3.5887772185484184,3.4500446715892026,3.5021311742444317,746284000,NVDA
2017-07-07,3.6228432655334473,3.6411106208948905,3.5756939724465333,3.5986515851810807,654972000,NVDA
2017-07-10,3.7941603660583496,3.8015659482755995,3.670239223055932,3.696405833281481,958492000,NVDA
2017-07-11,3.8479747772216797,3.8556273140612873,3.755897851233537,3.7978632087661404,757956000,NVDA
2017-07-12,4.011638641357422,4.023734478111621,3.864760152789532,3.907712850482741,1145208000,NVDA
2017-07-13,3.9652299880981445,4.10519656987142,3.9188213370724316,4.023734475871321,1369132000,NVDA
2017-07-14,4.071872234344482,4.073353021138416,3.974611144353068,3.9815230521861222,941948000,NVDA
2017-07-17,4.054592132568359,4.13482017504642,3.9928783986124423,4.105938004420171,930792000,NVDA
2017-07-18,4.096805095672607,4.111369542128295,3.9817703110216796,3.9936194320090985,776640000,NVDA
2017-07-19,4.075575351715088,4.132351878198977,4.063479511689122,4.105938311456406,687044000,NVDA
2017-07-20,4.13482141494751,4.13506813435585,4.046200650980935,4.0960652801025645,699596000,NVDA
2017-07-21,4.149632453918457,4.1792552613426475,4.100014545757031,4.114332275248603,648332000,NVDA
2017-07-24,4.101494789123535,4.166417759155565,4.090880207460141,4.156790525688948,652524000,NVDA
2017-07-25,4.0817461013793945,4.096063826236807,4.038052768844848,4.078536866855796,496556000,NVDA
2017-07-26,4.1288957595825195,4.194806078720192,4.094089027845174,4.139263622049294,640404000,NVDA
2017-07-27,3.992631435394287,4.165430068251083,3.8894460239056605,4.1538276685070565,782856000,NVDA
2017-07-28,4.058048725128174,4.082487597389271,3.931906147594088,3.9568382231822925,513348000,NVDA
2017-07-31,4.011638641357422,4.1076651775327955,3.9649832710197974,4.071624386556271,559672000,NVDA
2017-08-01,4.060516834259033,4.062244811336726,3.9743646997173316,4.0022590523034,431384000,NVDA
2017-08-02,4.058048725128174,4.095570786745193,3.9810303760702115,4.091621393420348,478444000,NVDA
2017-08-03,4.109641075134277,4.113343748437121,4.040521524837894,4.05755457537244,442420000,NVDA
2017-08-04,4.127660274505615,4.198260591106656,4.109639881048826,4.132350294603937,589096000,NVDA
2017-08-07,4.254544258117676,4.255037696703875,4.147162039987842,4.15678974247887,717412000,NVDA
